Occurred,City,State,Country
"06/10/2024 03:15","La Pine","OR","USA"
"06/09/2024 17:20","New York","NY","USA"
"06/09/2024 03:01","Satellite Beach","FL","USA"
"06/09/2024 01:14","Coopersville","MI","USA"
"06/08/2024 22:11","Boone","NC","USA"
"06/08/2024 21:05","Corona","CA","USA"
"06/08/2024 21:00","Willow Canyon","AZ","USA"
"06/08/2024 16:30","Summerville","SC","USA"
"06/08/2024 04:26","Brooksville","FL","USA"
"06/08/2024 03:45","Colorado Springs","CO","USA"
"06/07/2024 22:15","Calverton","NY","USA"
"06/07/2024 21:15","Manistique","MI","USA"
"06/07/2024 19:36","North Arlington","NJ","USA"
"06/07/2024 17:00","Portland","OR","USA"
"06/07/2024 12:35","Salt Lake City","UT","USA"
"06/07/2024 04:02","Orangevale","CA","USA"
"06/06/2024 12:39","Tigard","OR","USA"
"06/05/2024 21:53","Cedartown","GA","USA"
"06/05/2024 13:30","Fort Leavenworth","KS","USA"
"06/05/2024 09:20","Spokane","WA","USA"
"06/05/2024 01:30","Rock Island","WA","USA"
"06/05/2024 01:00","Golden","CO","USA"
"06/05/2024 00:02","Lakewood","CO","USA"
"06/04/2024 22:23","Kitty Hawk","NC","USA"
"06/04/2024 02:00","Merrill","IA","USA"
"06/03/2024 23:00","Baxter","TN","USA"
"06/03/2024 22:45","Olathe","KS","USA"
"06/03/2024 15:50","Laguna","NM","USA"
"06/03/2024 06:10","Nashville","TN","USA"
"06/03/2024 01:37","Marathon City","WI","USA"
"06/02/2024 22:40","Omaha","NE","USA"
"06/02/2024 19:30","Davenport","CA","USA"
"06/02/2024 18:30","Bloomington","IN","USA"
"06/01/2024 20:12","Huntsville","TX","USA"
"06/01/2024 19:40","East Hartford","CT","USA"
"06/01/2024 14:13","Perkasie","PA","USA"
"06/01/2024 12:45","Hamburg","NJ","USA"
"06/01/2024 01:15","Tacoma","WA","USA"
"05/31/2024 22:08","Dammeron Valley","UT","USA"
"05/31/2024 22:08","Summit","UT","USA"
"05/31/2024 22:00","Lake Montezuma","AZ","USA"
"05/31/2024 21:45","Gunnison","UT","USA"
"05/31/2024 21:38","Camp Verde","AZ","USA"
"05/31/2024 21:23","Grass Valley","CA","USA"
"05/31/2024 21:21","Tonto Basin","AZ","USA"
"05/31/2024 21:10","Tucson","AZ","USA"
"05/31/2024 21:08","Maricopa","AZ","USA"
"05/31/2024 21:08","Surprise","AZ","USA"
"05/31/2024 21:07","Henderson","NV","USA"
"05/31/2024 21:07","Flagstaff","AZ","USA"
