Rank,State Abbreviation,State,2024 Population,Growth Rate,2023 Population,2020 Population,Growth Since 2020,% of US,Density
1,CA,California,38889770,-0.0019,38965193,39503200,-0.0155,0.1158,250
2,TX,Texas,30976754,0.0155,30503301,29234361,0.0596,0.0922,119
3,FL,Florida,22975931,0.0162,22610726,21591299,0.0641,0.0684,428
4,NY,New York,19469232,-0.0052,19571216,20104710,-0.0316,0.058,413
5,PA,Pennsylvania,12951275,-0.0008,12961683,12995477,-0.0034,0.0386,289
6,IL,Illinois,12516863,-0.0026,12549689,12790357,-0.0214,0.0373,225
7,OH,Ohio,11812173,0.0022,11785935,11798292,0.0012,0.0352,289
8,GA,Georgia,11145304,0.0105,11029227,10732390,0.0385,0.0332,194
9,NC,North Carolina,10975017,0.0129,10835491,10453812,0.0499,0.0327,226
10,MI,Michigan,10041241,0.0004,10037261,10070627,-0.0029,0.0299,178
11,NJ,New Jersey,9320865,0.0032,9290841,9272392,0.0052,0.0278,1267
12,VA,Virginia,8752297,0.0042,8715698,8637193,0.0133,0.0261,222
13,WA,Washington,7841283,0.0036,7812880,7724566,0.0151,0.0233,118
14,AZ,Arizona,7497004,0.0088,7431344,7186683,0.0432,0.0223,66
15,TN,Tennessee,7204002,0.0109,7126489,6926091,0.0401,0.0214,175
16,MA,Massachusetts,7020058,0.0027,7001399,6997713,0.0032,0.0209,900
17,IN,Indiana,6892124,0.0044,6862199,6789098,0.0152,0.0205,192
18,MO,Missouri,6215144,0.0031,6196156,6154426,0.0099,0.0185,90
19,MD,Maryland,6196525,0.0026,6180253,6173689,0.0037,0.0184,638
20,WI,Wisconsin,5931367,0.0034,5910955,5896700,0.0059,0.0177,110
21,CO,Colorado,5914181,0.0062,5877610,5785219,0.0223,0.0176,57
22,MN,Minnesota,5761530,0.0041,5737915,5710578,0.0089,0.0172,72
23,SC,South Carolina,5464155,0.0169,5373555,5132151,0.0647,0.0163,182
24,AL,Alabama,5143033,0.0068,5108468,5031864,0.0221,0.0153,102
25,LA,Louisiana,4559475,-0.0031,4573749,4652022,-0.0199,0.0136,106
26,KY,Kentucky,4540745,0.0032,4526154,4508155,0.0072,0.0135,115
27,OR,Oregon,4227337,-0.0014,4233358,4245044,-0.0042,0.0126,44
28,OK,Oklahoma,4088377,0.0085,4053824,3965234,0.0311,0.0122,60
29,CT,Connecticut,3625646,0.0023,3617176,3577586,0.0134,0.0108,749
30,UT,Utah,3454232,0.0107,3417734,3283982,0.0518,0.0103,42
31,IA,Iowa,3214315,0.0023,3207004,3190904,0.0073,0.0096,58
32,NV,Nevada,3210931,0.0053,3194176,3115840,0.0305,0.0096,29
33,AR,Arkansas,3089060,0.0069,3067732,3014348,0.0248,0.0092,59
34,KS,Kansas,2944376,0.0013,2940546,2938124,0.0021,0.0088,36
35,MS,Mississippi,2940452,0.0003,2939690,2958409,-0.0061,0.0088,63
36,NM,New Mexico,2115266,0.0004,2114371,2118488,-0.0015,0.0063,17
37,ID,Idaho,1990456,0.0131,1964726,1849339,0.0763,0.0059,24
38,NE,Nebraska,1988698,0.0052,1978379,1963273,0.0129,0.0059,26
39,WV,West Virginia,1766107,-0.0022,1770071,1791562,-0.0142,0.0053,73
40,HI,Hawaii,1430877,-0.003,1435138,1451181,-0.014,0.0043,223
41,NH,New Hampshire,1405105,0.0022,1402054,1378702,0.0192,0.0042,157
42,ME,Maine,1402106,0.0046,1395722,1364517,0.0276,0.0042,45
43,MT,Montana,1142746,0.0088,1132812,1087211,0.0511,0.0034,8
44,RI,Rhode Island,1098082,0.0019,1095962,1096444,0.0015,0.0033,1062
45,DE,Delaware,1044321,0.0121,1031890,991862,0.0529,0.0031,536
46,SD,South Dakota,928767,0.0103,919318,887852,0.0461,0.0028,12
47,ND,North Dakota,788940,0.0064,783926,779563,0.012,0.0023,11
48,AK,Alaska,733536,0.0002,733406,732964,0.0008,0.0022,1
49,VT,Vermont,647818,0.0006,647464,642936,0.0076,0.0019,70
50,WY,Wyoming,586485,0.0042,584057,577664,0.0153,0.0017,6
